,mu,eta,longitude,latitude,Building_Station_Cost,Building_Charger_Cost
0,0.0,0.0,-168.8162601,-89.76382182,0.0,0.0
1,0.0,0.0,-145.85815135679616,-89.76382182,0.0,0.0
2,0.0,0.0,-168.8162601,-89.76382182,0.0,0.0
3,0.0,0.0,-168.8162601,-89.76382182,0.0,0.0
4,0.0,0.0,-168.8162601,-89.76382182,0.0,0.0
5,0.0,0.0,-168.8162601,-89.76382182,0.0,0.0
6,0.0,0.0,-168.8162601,-89.76382182,0.0,0.0
7,0.0,0.0,-168.8162601,-89.76382182,0.0,0.0
8,0.0,0.0,-168.8162601,-89.76382182,0.0,0.0
9,1.0,5.0,-122.80524225613789,-82.62546957698511,5000.0,2500.0
